Question,Answer
"控制“unclean”选举的参数是什么？","控制此行为的参数为unclean.leader.election.enable，在broker级别（实际一般在集群级别配置）适用。在MSK中默认为true，也即是说允许“unclean”选举。"
"在使用“unclean”选举时需要考虑什么？","在使用时，需要根据实际场景，在可用性与数据持久性之间进行权衡。允许“unclean”选举可以提高可用性，但可能会丢失部分数据。"
"什么是AWS MSK的最少In-Sync Replicas？","最少In-Sync Replicas是AWS MSK中的一个参数，它指定了在进行写操作时需要确认的最少副本数。如果确认的副本数低于这个值，写操作将会失败。"
"如何设置AWS MSK的最少In-Sync Replicas？","可以通过AWS MSK的控制台或API来设置最少In-Sync Replicas参数。在控制台中，可以在集群配置页面中找到该参数并进行修改。"
"最少In-Sync Replicas对AWS MSK的性能有什么影响？","最少In-Sync Replicas参数的值越高，写操作需要确认的副本数就越多，因此写操作的延迟也会增加。但是，这也可以提高数据的可靠性和一致性。"
"AWS MSK的最少In-Sync Replicas和复制因子有什么区别？","最少In-Sync Replicas和复制因子都是AWS MSK中用于保证数据可靠性的参数。但是，最少In-Sync Replicas指定了在进行写操作时需要确认的最少副本数，而复制因子指定了要创建的副本数。"
"AWS MSK的最少In-Sync Replicas和数据一致性有什么关系？","最少In-Sync Replicas参数可以保证数据的一致性。当进行写操作时，只有在确认了足够多的副本之后，才会返回成功的响应。这可以确保所有副本都具有相同的数据。"
"什么是造成数据丢失的主要原因？","造成数据丢失的主要原因是：leader与replica之间存在同步落后，且允许选举out-of-sync replica为leader。"
"在Kafka提供的保障中，消息在什么情况下才视为committed？","在Kafka提供的保障中，消息在写入leader及其所有in-sync replicas后，才视为committed。但是这里“所有in-sync replicas”仅包含in-sync replicas，并不考虑out-of-sync replica。"
"如何保证消息至少写入到多个in-sync replicas后才视为committed？","如果需要保证消息至少写入到多个in-sync replicas后才视为committed，则可以通过参数 min.insync.replicas 进行控制（可以在broker级别或是topic级别设置）。"
"如果MSK使用3 broker，default.replication.factor=3，min.insync.replicas=2，此topic的partition能否被生产者正常写入？","至少有2个replica为in-sync状态时（包括leader），此topic的partition才能被生产者正常写入。"
"如果1个replica发生故障，topic能否正常进行读写？","如果1个replica发生故障（例如AZ宕机，broker故障等等），topic仍能正常进行读写。"
"如果有2个replica同时发生故障，会发生什么？","如果有2个replica同时发生故障时，broker会拒绝所有写入（Producer会收到NOT_ENOUGH_REPLICAS异常），topic转为只读。"
